2.00,5.00,6.00,7.00,5.00,0.00,-1.02,0.19,d
2.00,5.00,6.00,7.00,5.00,-0.00,-1.02,0.19,d
2.00,5.00,6.00,7.00,5.00,-0.00,-1.02,0.19,d
2.00,5.00,6.00,7.00,5.00,-0.01,-1.02,0.18,d
2.00,5.00,6.00,7.00,5.00,-0.00,-1.02,0.18,d
2.00,5.00,6.00,7.00,5.00,-0.00,-1.02,0.18,d
2.00,5.00,6.00,7.00,5.00,-0.00,-1.02,0.18,d
2.00,5.00,6.00,7.00,5.00,-0.01,-1.03,0.17,d
1.00,5.00,2.00,3.00,3.00,0.83,-0.50,0.37,saya
1.00,5.00,2.00,3.00,3.00,0.84,-0.51,0.38,saya
1.00,5.00,2.00,3.00,3.00,0.83,-0.51,0.37,saya
1.00,5.00,2.00,3.00,3.00,0.84,-0.50,0.37,saya
1.00,5.00,2.00,3.00,3.00,0.83,-0.51,0.37,saya
1.00,5.00,2.00,3.00,3.00,0.83,-0.50,0.38,saya
1.00,5.00,2.00,3.00,3.00,0.83,-0.51,0.36,saya
1.00,5.00,2.00,3.00,3.00,0.83,-0.50,0.37,saya
1.00,5.00,7.00,7.00,8.00,0.72,-0.51,0.53,saya
1.00,5.00,7.00,7.00,8.00,0.72,-0.52,0.53,saya
1.00,5.00,7.00,7.00,8.00,0.72,-0.52,0.52,saya
1.00,5.00,7.00,7.00,7.00,0.77,-0.56,0.42,saya
1.00,5.00,7.00,7.00,7.00,0.78,-0.56,0.43,saya
1.00,5.00,7.00,7.00,7.00,0.77,-0.57,0.41,saya
1.00,5.00,7.00,7.00,7.00,0.75,-0.56,0.44,saya
1.00,5.00,7.00,7.00,7.00,0.76,-0.57,0.43,saya
5.00,10.00,6.00,7.00,7.00,-0.33,-0.98,0.01,s
5.00,10.00,6.00,7.00,7.00,-0.33,-0.98,0.02,s
5.00,10.00,6.00,7.00,7.00,-0.34,-0.98,0.03,s
5.00,10.00,6.00,7.00,7.00,-0.34,-0.96,0.04,s
5.00,10.00,6.00,7.00,7.00,-0.33,-0.97,0.06,s
5.00,10.00,6.00,7.00,7.00,-0.33,-0.97,0.06,s
5.00,10.00,6.00,7.00,7.00,-0.34,-0.97,0.06,s
5.00,10.00,6.00,7.00,7.00,-0.34,-0.97,0.06,s
1.00,5.00,6.00,7.00,6.00,0.23,-0.30,0.90,kamu
1.00,5.00,6.00,7.00,7.00,0.09,-0.20,0.96,kamu
1.00,5.00,6.00,7.00,7.00,0.12,-0.19,0.94,kamu
1.00,5.00,6.00,7.00,7.00,0.07,-0.05,1.03,kamu
1.00,5.00,6.00,7.00,7.00,0.15,-0.26,0.93,kamu
1.00,5.00,6.00,7.00,7.00,0.12,-0.28,0.93,kamu
1.00,5.00,6.00,7.00,7.00,0.15,-0.24,0.94,kamu
1.00,5.00,6.00,7.00,7.00,0.15,-0.25,0.94,kamu
1.00,5.00,6.00,7.00,7.00,0.15,-0.27,0.93,kamu
3.00,8.00,6.00,6.00,2.00,-0.34,-0.91,0.25,j
3.00,8.00,6.00,6.00,2.00,-0.25,-0.85,-0.38,j
3.00,8.00,6.00,6.00,2.00,-0.56,-0.80,0.05,j
3.00,8.00,6.00,6.00,2.00,-0.75,-0.79,0.22,j
3.00,8.00,6.00,6.00,2.00,-0.48,-0.69,0.55,j
3.00,9.00,6.00,6.00,2.00,-0.10,-0.71,0.68,j
3.00,8.00,6.00,6.00,2.00,-0.09,-0.75,0.67,j
3.00,8.00,6.00,6.00,2.00,0.05,-0.63,0.71,j
3.00,8.00,6.00,6.00,2.00,0.11,-0.56,0.83,j
3.00,8.00,6.00,6.00,2.00,-0.05,-0.55,0.79,j
3.00,7.00,4.00,5.00,2.00,0.20,-0.49,0.84,j
0.00,5.00,6.00,7.00,7.00,-0.07,-0.84,0.55,melihat
0.00,5.00,7.00,7.00,7.00,-0.01,-0.82,0.60,melihat
0.00,5.00,6.00,7.00,7.00,-0.05,-0.84,0.56,melihat
0.00,5.00,6.00,7.00,7.00,-0.06,-0.84,0.56,melihat
0.00,5.00,6.00,7.00,7.00,-0.05,-0.84,0.55,melihat
0.00,5.00,6.00,7.00,7.00,-0.06,-0.84,0.55,melihat
